Strategy,Trades,Win Rate,Total P&L,Avg P&L,ROI,Investment,Capital Utilization,Avg Delta,Avg Theta,Avg Vega,ATM Trades,ITM Trades,OTM Trades,Avg Holding Minutes,Profit Factor,Status
DAY_HIGH_LOW_OPTIMIZED,3,33.3%,-89724.50,-29908.17,-213.6%,42000.00,28.0%,0.167,-0.040,0.120,1,0,2,30.0,0.07,ACTIVE
TREND_FOLLOWING_OPTIMIZED,3,33.3%,102.50,34.17,0.2%,42000.00,28.0%,0.167,-0.040,0.120,0,0,3,35.0,1.02,ACTIVE
ATR_BREAKOUT_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MOMENTUM_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MACD_DIVERGENCE_LOSING,3,33.3%,-21988.00,-7329.33,-52.4%,42000.00,28.0%,-0.500,-0.040,0.120,2,0,1,35.0,0.04,ACTIVE
BOLLINGER_SQUEEZE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
HIGH_VOLUME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
CCI_EXTREME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STRONG_MOMENTUM_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
STOCHASTIC_OVERSOLD_LOSING,1,0.0%,-15751.50,-15751.50,-112.5%,14000.00,28.0%,-0.500,-0.040,0.120,0,0,1,35.0,0.00,ACTIVE
WILLIAMS_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MULTI_TIMEFRAME_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
AI_ENHANCED_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
MFI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
RSI_DIVERGENCE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
VOLUME_SPIKE_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
BREAKOUT_REVERSAL_LOSING,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
momentum_combo,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
trend_combo,6,33.3%,-89622.00,-14937.00,-106.7%,84000.00,28.0%,0.167,-0.040,0.120,1,0,5,32.5,0.12,ACTIVE
volatility_combo,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
technical_combo,3,33.3%,-21988.00,-7329.33,-52.4%,42000.00,28.0%,-0.500,-0.040,0.120,2,0,1,35.0,0.04,ACTIVE
volume_combo,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
oscillator_combo,1,0.0%,-15751.50,-15751.50,-112.5%,14000.00,28.0%,-0.500,-0.040,0.120,0,0,1,35.0,0.00,ACTIVE
multi_timeframe_combo,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
indicators_combo,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
breakout_combo,0,0.0%,0.00,0.00,0.0%,0.00,0.0%,0.000,0.000,0.000,0,0,0,0.0,0.00,INACTIVE
